altitude(km),altitude(m),ch4(ppmv),co(ppmv),co2(ppmv),humidity(%),n2o(ppmv),o2(ppmv),o3(ppmv),pressure(hPa),temperature(K)
4.7,4700.0,1.69,0.13057,410.0,13.942560885974169,0.30405,209000.0,0.05073,562.210863454607,260.2190802397314
5.0,5000.0,1.687,0.1303,410.0,13.81526260353485,0.3024,209000.0,0.05328,540.417611274813,258.42685397993665
5.3,5300.0,1.6825,0.12985,410.0,14.449799817101965,0.29886,209000.0,0.056988000000000004,519.315533647573,256.40640664225543
5.6000000000000005,5600.0,1.678,0.1294,410.0,15.541966143883922,0.29532,209000.0,0.060696000000000014,498.8730700404588,254.21320585508985
5.9,5900.0,1.6735,0.12895,410.0,16.667868407536357,0.29178000000000004,209000.0,0.064404,479.0647945905185,251.9092638158456
6.2,6200.0,1.6674,0.12798,410.0,19.52805677336991,0.28892,209000.0,0.067988,459.8718796581469,249.57885066712564
6.5,6500.0,1.6604999999999999,0.12675,410.0,26.040381910921056,0.2864,209000.0,0.07151,441.28164939390604,247.2912092942199
6.8,6800.0,1.6536,0.12552,410.0,32.667264106072736,0.28388,209000.0,0.075032,423.28435524981296,245.06714760304826
7.1000000000000005,7100.0,1.647,0.12408000000000001,410.0,34.610652197213255,0.28157,209000.0,0.07875600000000002,405.87078416588827,242.92047340992647
7.4,7400.0,1.641,0.12222,410.0,32.17189096268186,0.27968,209000.0,0.082884,389.0315887338731,240.8420983660471
7.7,7700.0,1.635,0.12036,410.0,30.662932490366643,0.27779,209000.0,0.087012,372.753109245846,238.71209713569823
8.0,8000.0,1.629,0.1185,410.0,30.279999129632472,0.2759,209000.0,0.09114,357.0151579995106,236.44369835303044
8.4,8400.0,1.6234,0.11485999999999999,410.0,32.24586571586664,0.27365999999999996,209000.0,0.111484,336.79940628750296,233.16630044609872
8.8,8800.0,1.6178,0.11122,410.0,40.289410942288875,0.27142,209000.0,0.131828,317.53329034056145,229.62487421729176
9.200000000000001,9200.0,1.6078,0.10744399999999998,410.0,48.205470986669795,0.26926,209000.0,0.15140000000000006,299.0388874954518,226.13155880962972
9.6,9600.0,1.5934,0.103532,410.0,50.04270137953026,0.26718,209000.0,0.1702,281.38919679537156,222.76435178258953
10.0,10000.0,1.579,0.09962,410.0,47.0294070910578,0.2651,209000.0,0.189,264.5557559674128,219.59421030775354
10.5,10500.0,1.5605,0.09462999999999999,410.0,45.94863053571971,0.26255,209000.0,0.247,244.6235515827954,216.34538156562
11.0,11000.0,1.542,0.08964,410.0,38.29936973708603,0.26,209000.0,0.305,225.95152636658014,214.33935533060497
11.5,11500.0,1.524,0.08388999999999999,410.0,17.96447086739927,0.25745,209000.0,0.3575,208.7346579540505,216.55462953711668
12.0,12000.0,1.506,0.07814,410.0,5.993714927172156,0.2549,209000.0,0.41,193.09069841764475,220.61963761051007
12.5,12500.0,1.4885000000000002,0.07094,410.0,1.6493159331995677,0.25215,209000.0,0.45499999999999996,178.7820135543734,223.52336325588874
13.0,13000.0,1.471,0.06374,410.0,1.0980262158985004,0.2494,209000.0,0.5,165.7029017951883,224.34989189728154
14.0,14000.0,1.434,0.05025,410.0,0.8810523268487835,0.2433,209000.0,0.6,142.3586978866863,224.94797184175923
15.0,15000.0,1.389,0.03941,410.0,0.6402240380065863,0.2355,209000.0,0.7,122.35570272594671,225.30738164546224
18.0,18000.0,1.23,0.01966,410.0,0.3608867188543998,0.2035,209000.0,1.3,78.73253573881338,226.53370219438258
20.0,20000.0,1.072,0.01331,410.0,0.2572909352621376,0.1567,209000.0,2.1,58.30956762128134,227.20469898848935
25.0,25000.0,0.7477,0.0151,410.0,0.1224664891986128,0.08775,209000.0,4.5,27.365320549766047,227.89532041334004
30.0,30000.0,0.6442,0.01808,410.0,0.028863166471000668,0.05941,209000.0,5.7,13.122935173678819,235.85232661002885
